submission_id,age,comments,education,endTime,experiment_id,final_points,gender,goal,horizonSize,languages,number_of_clicks,participant_ID,startDate,startTime,timeSpent,trial_name,trial_number,value,x_coordinate,y_coordinate
929,20,,Graduated High School,1563896855297,79,5,male,Accumulation,30,"Bulgarian, German",1,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,5,5,5
929,20,,Graduated High School,1563896855297,79,15,male,Accumulation,30,"Bulgarian, German",2,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,10,6,5
929,20,,Graduated High School,1563896855297,79,28,male,Accumulation,30,"Bulgarian, German",3,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,13,7,5
929,20,,Graduated High School,1563896855297,79,45,male,Accumulation,30,"Bulgarian, German",4,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,17,8,5
929,20,,Graduated High School,1563896855297,79,71,male,Accumulation,30,"Bulgarian, German",5,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,26,9,5
929,20,,Graduated High School,1563896855297,79,88,male,Accumulation,30,"Bulgarian, German",6,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,17,8,6
929,20,,Graduated High School,1563896855297,79,101,male,Accumulation,30,"Bulgarian, German",7,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,13,8,4
929,20,,Graduated High School,1563896855297,79,126,male,Accumulation,30,"Bulgarian, German",8,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,25,9,6
929,20,,Graduated High School,1563896855297,79,162,male,Accumulation,30,"Bulgarian, German",9,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,36,10,5
929,20,,Graduated High School,1563896855297,79,192,male,Accumulation,30,"Bulgarian, German",10,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,1,30,10,4
